CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
619,France,Female,42.0,2,101348.88,0.0,1,1,1,1
608,Spain,Female,41.0,1,112542.58,83807.86,1,1,1,0
502,France,Female,42.0,8,113931.57,159660.8,3,0,0,1
699,France,Female,39.0,1,93826.63,0.0,2,0,0,0
850,Spain,Female,43.0,2,79084.1,125510.82,1,1,1,0
645,Spain,Male,44.0,8,149756.71,113755.78,2,0,0,1
822,France,Male,50.0,7,10062.8,0.0,2,1,1,0
376,Germany,Female,29.0,4,119346.88,115046.74,4,0,0,1
501,France,Male,44.0,4,74940.5,142051.07,2,1,1,0
684,France,Male,27.0,2,71725.73,134603.88,1,1,1,0
528,France,Male,31.0,6,80181.12,102016.72,2,0,0,0
497,Spain,Male,24.0,3,76390.01,0.0,2,0,0,0
476,France,Female,34.0,10,26260.98,0.0,2,0,0,0
549,France,Female,25.0,5,190857.79,0.0,2,0,0,0
635,Spain,Female,35.0,7,65951.65,0.0,2,1,1,0
616,Germany,Male,45.0,3,64327.26,143129.41,2,1,1,0
653,Germany,Male,58.0,1,5097.67,132602.88,1,0,0,1
549,Spain,Female,24.0,9,14406.41,0.0,2,1,1,0
587,Spain,Male,45.0,6,158684.81,0.0,1,0,0,0
726,France,Female,24.0,6,54724.03,0.0,2,1,1,0
732,France,Male,41.0,8,170886.17,0.0,2,1,1,0
636,Spain,Female,32.0,8,138555.46,0.0,2,0,0,0
510,Spain,Female,38.0,4,118913.53,0.0,1,0,0,1
669,France,Male,46.0,3,8487.75,0.0,2,1,1,0
846,France,Female,38.0,5,187616.16,0.0,1,1,1,0
577,France,Male,25.0,3,124508.29,0.0,2,1,1,0
756,Germany,Male,36.0,2,170041.95,136815.64,1,1,1,0
571,France,Male,44.0,9,38433.35,0.0,2,0,0,0
411,France,Male,29.0,0,53483.21,59697.17,2,1,1,0
591,Spain,Female,39.0,3,140469.38,0.0,3,0,0,1
533,France,Male,36.0,7,156731.91,85311.7,1,1,1,0
553,Germany,Male,41.0,9,81898.81,110112.54,2,0,0,0
520,Spain,Female,42.0,6,34410.55,0.0,2,1,1,0
